method,path,command,domain,scope
POST,/v4/dns/organisations/{tenantId}/resources/{resourceId}/records,,dns,admin-only
DELETE,/v4/dns/organisations/{tenantId}/resources/{resourceId}/records/{recordId},,dns,admin-only
GET,/v4/dns/organisations/{tenantId}/resources/{resourceId}/records/{recordId},,dns,admin-only
DELETE,/v4/dns/organisations/{tenantId}/resources/{resourceId}/records/type/{type}/name/{recordName},,dns,admin-only
GET,/v4/dns/organisations/{tenantId}/resources/{resourceId}/records/type/{type}/name/{recordName},,dns,admin-only
GET,/v4/functions/deployments/{status},,function,admin-only
GET,/v4/functions/organisations/{ownerId}/functions,,function,admin-only
POST,/v4/functions/organisations/{ownerId}/functions,,function,admin-only
DELETE,/v4/functions/organisations/{ownerId}/functions/{functionId},,function,admin-only
GET,/v4/functions/organisations/{ownerId}/functions/{functionId},,function,admin-only
PUT,/v4/functions/organisations/{ownerId}/functions/{functionId},,function,admin-only
GET,/v4/functions/organisations/{ownerId}/functions/{functionId}/deployments,,function,admin-only
POST,/v4/functions/organisations/{ownerId}/functions/{functionId}/deployments,,function,admin-only
DELETE,/v4/functions/organisations/{ownerId}/functions/{functionId}/deployments/{deploymentId},,function,admin-only
GET,/v4/functions/organisations/{ownerId}/functions/{functionId}/deployments/{deploymentId},,function,admin-only
PUT,/v4/functions/organisations/{ownerId}/functions/{functionId}/deployments/{deploymentId},,function,admin-only
POST,/v4/functions/organisations/{ownerId}/functions/{functionId}/deployments/{deploymentId}/trigger,,function,admin-only
DELETE,/v4/functions/organisations/{ownerId}/functions/{functionId}/trigger-pulsar,,function,admin-only
GET,/v4/functions/organisations/{ownerId}/functions/{functionId}/trigger-pulsar,,function,admin-only
POST,/v4/functions/organisations/{ownerId}/functions/{functionId}/trigger-pulsar,,function,admin-only
POST,/v4/images,,image,internal
GET,/v4/images/{image}/versions/{version},,image,internal
GET,/v4/images/{image}/versions/{version}/diff/{newVersion},,image,internal
GET,/v4/images/{image}/versions/{version}/packages/{package},,image,internal
DELETE,/v4/images/{imageId},,image,internal
GET,/v4/images/{imageId},,image,internal
GET,/v4/ipam/organisations/{ownerId}/ipam/consumptions,,ipam,internal
DELETE,/v4/ipam/organisations/{tenantId}/acl,,ipam,admin-only
GET,/v4/ipam/organisations/{tenantId}/acl,,ipam,admin-only
PUT,/v4/ipam/organisations/{tenantId}/acl,,ipam,admin-only
DELETE,/v4/ipam/organisations/{tenantId}/acl/resources/{resourceId},,ipam,admin-only
GET,/v4/ipam/organisations/{tenantId}/acl/resources/{resourceId},,ipam,admin-only
PUT,/v4/ipam/organisations/{tenantId}/acl/resources/{resourceId},,ipam,admin-only
GET,/v4/ipam/organisations/{tenantId}/assignment/resources,,ipam,admin-only
GET,/v4/ipam/organisations/{tenantId}/assignment/resources/{resourceId},,ipam,admin-only
GET,/v4/ipam/organisations/{tenantId}/audit,,ipam,admin-only
GET,/v4/ipam/organisations/{tenantId}/audit/{auditIpamResourceId},,ipam,admin-only
GET,/v4/ipam/organisations/{tenantId}/regions,,ipam,admin-only
POST,/v4/ipam/organisations/{tenantId}/regions,,ipam,admin-only
DELETE,/v4/ipam/organisations/{tenantId}/regions/{regionId},,ipam,admin-only
GET,/v4/ipam/organisations/{tenantId}/regions/{regionId},,ipam,admin-only
PUT,/v4/ipam/organisations/{tenantId}/regions/{regionId},,ipam,admin-only
GET,/v4/ipam/organisations/{tenantId}/regions/{regionId}/networks,,ipam,admin-only
POST,/v4/ipam/organisations/{tenantId}/regions/{regionId}/networks,,ipam,admin-only
DELETE,/v4/ipam/organisations/{tenantId}/regions/{regionId}/networks/{networkId},,ipam,admin-only
GET,/v4/ipam/organisations/{tenantId}/regions/{regionId}/networks/{networkId},,ipam,admin-only
POST,/v4/ipam/organisations/{tenantId}/regions/{regionId}/networks/{networkId}/freeze,,ipam,admin-only
POST,/v4/ipam/organisations/{tenantId}/regions/{regionId}/networks/{networkId}/unfreeze,,ipam,admin-only
POST,/v4/ipam/organisations/{tenantId}/regions/{regionId}/resources/{resourceId}/assign/{ipVersion},,ipam,admin-only
POST,/v4/ipam/organisations/{tenantId}/regions/{regionId}/resources/{resourceId}/bulk/assign/{ipVersion},,ipam,admin-only
POST,/v4/ipam/organisations/{tenantId}/resources/{resourceId}/bulk/unassign,,ipam,admin-only
POST,/v4/ipam/organisations/{tenantId}/resources/{resourceId}/ip/{ipAddress}/freeze,,ipam,admin-only
POST,/v4/ipam/organisations/{tenantId}/resources/{resourceId}/ip/{ipAddress}/unfreeze,,ipam,admin-only
POST,/v4/ipam/organisations/{tenantId}/resources/{resourceId}/unassign/{ipAddress},,ipam,admin-only
POST,/v2/providers/addon-keycloak/resources,,keycloak,internal
DELETE,/v2/providers/addon-keycloak/resources/{addonKeycloakId},,keycloak,internal
GET,/v4/addon-providers/addon-keycloak/addons/{addonKeycloakId},GetKeycloakInfoCommand,keycloak,external
POST,/v4/addon-providers/addon-keycloak/addons/{addonKeycloakId}/application,,keycloak,internal
DELETE,/v4/addon-providers/addon-keycloak/addons/{addonKeycloakId}/networkgroup,DeleteKeycloakNetworkGroupCommand,keycloak,external
POST,/v4/addon-providers/addon-keycloak/addons/{addonKeycloakId}/networkgroup,CreateKeycloakNetworkGroupCommand,keycloak,external
POST,/v4/addon-providers/addon-keycloak/addons/{addonKeycloakId}/reboot,RebootKeycloakCommand,keycloak,external
POST,/v4/addon-providers/addon-keycloak/addons/{addonKeycloakId}/rebuild,RebuildKeycloakCommand,keycloak,external
GET,/v4/addon-providers/addon-keycloak/addons/{addonKeycloakId}/version/check,CheckKeycloakVersionCommand,keycloak,external
POST,/v4/addon-providers/addon-keycloak/addons/{addonKeycloakId}/version/update,UpdateKeycloakVersionCommand,keycloak,external
GET,/v4/addon-providers/keycloak,,keycloak,external
POST,/v4/keycloak/consumptions,,keycloak,internal
POST,/v4/keycloak/organisations/{ownerId}/keycloak/{addonKeycloakId}/consumption,,keycloak,internal
GET,/v4/keycloaks/organisations/{ownerId}/keycloaks/{addonKeycloakId},,keycloak,internal
POST,/v2/providers/addon-kms/resources,,kms,internal
DELETE,/v2/providers/addon-kms/resources/{addonKmsId},,kms,internal
GET,/v4/kms/clusters/{kmsClusterId}/endpoints,,kms,admin-only
GET,/v4/kms/organisations/{ownerId}/kms/{addonKmsId},,kms,admin-only
GET,/v4/kubernetes-product,GetKubernetesProductCommand,kubernetes,admin-only
POST,/v4/kubernetes/admin/clusters/{clusterId}/plugins/backfill,,kubernetes,admin-only
POST,/v4/kubernetes/admin/clusters/plugins/backfill,,kubernetes,admin-only
GET,/v4/kubernetes/admin/deployment-profiles,,kubernetes,admin-only
POST,/v4/kubernetes/admin/deployment-profiles,,kubernetes,admin-only
DELETE,/v4/kubernetes/admin/deployment-profiles/{locationId},,kubernetes,admin-only
GET,/v4/kubernetes/admin/deployment-profiles/{locationId},,kubernetes,admin-only
PUT,/v4/kubernetes/admin/deployment-profiles/{locationId},,kubernetes,admin-only
GET,/v4/kubernetes/organisations/{ownerId}/clusters,ListKubernetesClusterCommand,kubernetes,admin-only
POST,/v4/kubernetes/organisations/{ownerId}/clusters,CreateKubernetesClusterCommand,kubernetes,admin-only
DELETE,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId},DeleteKubernetesClusterCommand,kubernetes,admin-only
GET,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId},GetKubernetesClusterCommand,kubernetes,admin-only
PATCH,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId},UpdateKubernetesClusterCommand,kubernetes,admin-only
POST,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/csi/ceph,AddKubernetesPersistentStorageCommand,kubernetes,admin-only
GET,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/deployment-events,,kubernetes,admin-only
GET,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/events,ListKubernetesClusterEventCommand,kubernetes,admin-only
GET,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/kubeconfig.yaml,GetKubernetesKubeconfigCommand,kubernetes,admin-only
GET,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/kubeconfig/presigned-url,GetKubernetesKubeconfigPresignedUrlCommand,kubernetes,admin-only
GET,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/node-groups,ListKubernetesNodeGroupCommand,kubernetes,admin-only
POST,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/node-groups,CreateKubernetesNodeGroupCommand,kubernetes,admin-only
DELETE,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/node-groups/{nodeGroupId},DeleteKubernetesNodeGroupCommand,kubernetes,admin-only
GET,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/node-groups/{nodeGroupId},GetKubernetesNodeGroupCommand,kubernetes,admin-only
PATCH,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/node-groups/{nodeGroupId},UpdateKubernetesNodeGroupCommand,kubernetes,admin-only
POST,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/node-groups/{nodeGroupId}/resume,,kubernetes,admin-only
GET,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/nodes,,kubernetes,admin-only
POST,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/nodes,,kubernetes,admin-only
DELETE,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/nodes/{nodeId},,kubernetes,admin-only
GET,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/nodes/{nodeId},,kubernetes,admin-only
POST,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/redeploy,RedeployKubernetesClusterCommand,kubernetes,admin-only
POST,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/resume,ResumeKubernetesClusterCommand,kubernetes,admin-only
GET,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/version/check,CheckKubernetesClusterVersionCommand,kubernetes,admin-only
POST,/v4/kubernetes/organisations/{ownerId}/clusters/{clusterId}/version/update,UpdateKubernetesClusterVersionCommand,kubernetes,admin-only
GET,/v4/kubernetes/organisations/{ownerId}/kubernetes/consumptions,,kubernetes,internal
GET,/v4/kubernetes/organisations/{ownerId}/quota,GetKubernetesQuotaCommand,kubernetes,admin-only
GET,/v4/kubernetes/organisations/{ownerId}/usage,ListKubernetesUsageCommand,kubernetes,admin-only
GET,/v4/kubernetes/plugins/catalog,,kubernetes,admin-only
GET,/v4/loadbalancer/organisations/{ownerId}/loadbalancer/consumptions,,loadbalancer,internal
GET,/v4/loadbalancers/organisations/{tenantId}/audit,,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/audit/{resourceId},,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/loadbalancers,,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/loadbalancers/{loadbalancerId}/clusters,,loadbalancer,admin-only
POST,/v4/loadbalancers/organisations/{tenantId}/loadbalancers/{loadbalancerId}/clusters,,loadbalancer,admin-only
DELETE,/v4/loadbalancers/organisations/{tenantId}/loadbalancers/{loadbalancerId}/clusters/{clusterId},,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/loadbalancers/{loadbalancerId}/clusters/{clusterId},,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/loadbalancers/{loadbalancerId}/listeners,,loadbalancer,admin-only
POST,/v4/loadbalancers/organisations/{tenantId}/loadbalancers/{loadbalancerId}/listeners,,loadbalancer,admin-only
DELETE,/v4/loadbalancers/organisations/{tenantId}/loadbalancers/{loadbalancerId}/listeners/{listenerId},,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/loadbalancers/{loadbalancerId}/listeners/{listenerId},,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/networks,,loadbalancer,admin-only
POST,/v4/loadbalancers/organisations/{tenantId}/networks,,loadbalancer,admin-only
DELETE,/v4/loadbalancers/organisations/{tenantId}/networks/{networkId},,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/networks/{networkId},,loadbalancer,admin-only
DELETE,/v4/loadbalancers/organisations/{tenantId}/parents/{parentId},,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/parents/{parentId},,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/pulsar,,loadbalancer,internal
GET,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers,,loadbalancer,admin-only
POST,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers,,loadbalancer,admin-only
DELETE,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId},,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId},,loadbalancer,admin-only
DELETE,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/acl,,loadbalancer,admin-only
GET,/v4/loadbalancers/organisations/{tenantId}/regions/{regionId}/loadbalancers/{loadbalancerId}/acl,,loadbalancer,admin-only
