Source id,Endpoint id,Used,Namespace,Target,Action,Command name (without Command suffix),Comment
remote-cc-api-v2,[GET] /v2/organisations/:XXX/instances,true,Instance,,List,ListInstance,On regroupe
remote-cc-api-v2,[GET] /v2/organisations/:XXX/namespaces,true,TcpRedirection,Namespace,List,ListTcpRedirectionNamespace,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/payment-info,false,,,,,
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/avatar,true,Organisation,Avatar,Update,UpdateOrganisationAvatar,
remote-cc-api-v2,[POST] /v2/organisations/:XXX/addonproviders/:XXX/testers,false,,,,,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addonproviders/:XXX/features,true,AddonProvider,Feature,List,ListAddonProviderFeature,
remote-cc-api-v2,[POST] /v2/organisations/:XXX/addonproviders/:XXX/features,true,AddonProvider,Feature,Create,CreateAddonProviderFeature,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addonproviders/:XXX/plans,true,AddonProvider,Plan,List,ListAddonProviderPlan,
remote-cc-api-v2,[POST] /v2/organisations/:XXX/addonproviders/:XXX/plans,true,AddonProvider,Plan,Create,CreateAddonProviderPlan,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addonproviders,false,,,,,
remote-cc-api-v2,[POST] /v2/organisations/:XXX/addonproviders,true,AddonProvider,,Create,CreateAddonProvider,Ici on est bien sur les AddonProvider qu'un user créé lui meme dans une orga
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addonproviders/:XXX,true,AddonProvider,,Get,GetAddonProvider,Ici on est bien sur les AddonProvider qu'un user créé lui meme dans une orga
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/addonproviders/:XXX,true,AddonProvider,,Update,UpdateAddonProvider,Ici on est bien sur les AddonProvider qu'un user créé lui meme dans une orga
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/addonproviders/:XXX,false,,,,,
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/addonproviders/:XXX/features/:XXX,true,AddonProvider,Feature,Delete,DeleteAddonProviderFeature,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addonproviders/:XXX/plans/:XXX,false,,,,,
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/addonproviders/:XXX/plans/:XXX,true,AddonProvider,Plan,Update,UpdateAddonProviderPlan,
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/addonproviders/:XXX/plans/:XXX,true,AddonProvider,Plan,Delete,DeleteAddonProviderPlan,
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/addonproviders/:XXX/plans/:XXX/features/:XXX,false,,,,,
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/addonproviders/:XXX/plans/:XXX/features/:XXX,false,,,,,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addonproviders/:XXX/tags,false,,,,,
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addonproviders/:XXX/sso,false,,,,,
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/addons/:XXX/tags/:XXX,true,Tag,,Update,UpdateTag,À fusionner avec tags d'app (pas utilisé encore)
remote-cc-api-v2,[DELETE] /v2/organisations/:XXX/addons/:XXX/tags/:XXX,true,Tag,,Delete,DeleteTag,À fusionner avec tags d'app (pas utilisé encore)
remote-cc-api-v2,[GET] /v2/organisations/:XXX/addons/:XXX/tags,true,Tag,,List,ListTag,À fusionner avec tags d'app (pas utilisé encore)
remote-cc-api-v2,[PUT] /v2/organisations/:XXX/addons/:XXX/tags,true,Tag,,Create,CreateTag,À fusionner avec tags d'app (pas utilisé encore)
